no,sentence
1,Skip to content The Depot Main Menu Home Menu History Events Food Truck Contact Make Reservations Casual Fine Dining The Depot About Us About Us Celebrate seafood of the northwest dining at the mouth of the Columbia River in Historic Seaview at the 130-year-old Clamshell Railroad Train Station.
2,"Make a reservation at our Chef’s Table next to our Display Kitchen.“One of the best dinner houses in the northwest” – Gerry Frank, The Oregonian Make Reservations Since 2001 Our History How it all started Located in the remodeled 120 year old Seaview train station, The Depot has been Seaview Washington's premier casual fine dining restaurant for over 20 years History Dining Menu Wine Menu OurMenuThe Depot menu has been curated by our award-winning chefs."
3,"It features fresh local fish, oysters, prawns, and other seafood options."
4,"As well as high-end landfood entrees like duck confit, steak killian, rack of lamb, and more."
5,"After dinner, enjoy our award-winning daily dessert specials."
6,Our MenuThe Depot menu has been curated by our award-winning chefs.
7,"It features fresh local fish, oysters, prawns, and other seafood options."
8,"As well as high-end landfood entrees like duck confit, steak killian, rack of lamb, and more."
9,"After dinner, enjoy our award-winning daily dessert specials."
10,Explore Menu Local FavoritesDine how the locals do!
11,These are some of the favorite dishes amongst our local customers here on the peninsula.
12,Our ingredients are locally sourced and high quality.
13,"Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Only the Best Fresh Ingredients, Locally Sourced First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
14,"Small, out of the way, casual and inexpensive, yet with excellent food.” Frommer’s Washington State Guide 4th Edition Restaurant of the Week Katu Portland Hours of Operation Monday 4:30 PM - 8:00 PM Tuesday 4:30 PM - 8:00 PM Wednesday 4:30 PM - 8:00 PM Thursday 4:30 PM - 8:00 PM Friday 4:30 PM - 8:30 PM Saturday 4:30 PM - 8:30 PM Sunday 4:30 PM - 8:00 PM Wednesdays (During the School Year) Design your own burger with Organic Beef, Buffalo or Portobello Burgers and 15 condiments."
15,"House salad, oyster appetizer and chowder also available."
16,Call for Reservations Follow Us Facebook Instagram Yelp THE DEPOT Main Menu Home Menu History Events Food Truck Contact Facebook-f Instagram Yelp © 2023 The Depot The Depot The Depot Main Menu Home Menu History Events Food Truck Contact Make Reservations Main Menu Home Menu History Events Food Truck Contact Make Reservations Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Home Menu History Events Food Truck Contact Main Menu Main Menu Home Menu History Events Food Truck Contact Home Home Menu Menu History History Events Events Food Truck Food Truck Contact Contact Make Reservations Make Reservations Make Reservations Make Reservations Make Reservations Make Reservations Make Reservations Make Reservations Casual Fine Dining The Depot About Us About Us Celebrate seafood of the northwest dining at the mouth of the Columbia River in Historic Seaview at the 130-year-old Clamshell Railroad Train Station.
17,"Make a reservation at our Chef’s Table next to our Display Kitchen.“One of the best dinner houses in the northwest” – Gerry Frank, The Oregonian Make Reservations Since 2001 Our History How it all started Located in the remodeled 120 year old Seaview train station, The Depot has been Seaview Washington's premier casual fine dining restaurant for over 20 years History Dining Menu Wine Menu OurMenuThe Depot menu has been curated by our award-winning chefs."
18,"It features fresh local fish, oysters, prawns, and other seafood options."
19,"As well as high-end landfood entrees like duck confit, steak killian, rack of lamb, and more."
20,"After dinner, enjoy our award-winning daily dessert specials."
21,Our MenuThe Depot menu has been curated by our award-winning chefs.
22,"It features fresh local fish, oysters, prawns, and other seafood options."
23,"As well as high-end landfood entrees like duck confit, steak killian, rack of lamb, and more."
24,"After dinner, enjoy our award-winning daily dessert specials."
25,Explore Menu Local FavoritesDine how the locals do!
26,These are some of the favorite dishes amongst our local customers here on the peninsula.
27,Our ingredients are locally sourced and high quality.
28,"Rack of Oregon Lamb $45 Chargrilled and Oven roasted Lamb Rack with Chimi Churi on saffron-scented Jazmine rice $45 Steak Killian $36 Chef’s Special Cut chargrilled Prime, 7 oz Filet Mignon topped with a Charred Green Onion Steak Sauce accompanied by Potato Gratin and Vegetables $36 Willapa Bay Oyster Dinner $30 Six fresh locally farmed Oysters, pan fried or deep fried served with Roasted Garlic Aioli and Yukon Gold Smashed Potatoes $30 Clams Bucatini $29 Italian Bucatini Pasta with chopped ocean Razor and whole, fresh, wild Willapa Bay Steamer Clams sautéed with Garlic, White Wine, Lemon Juice, Parsley and Chili Flakes $29 Only the Best Fresh Ingredients, Locally Sourced First Place Coast Weekend Reader’s Choice Best Fine Dining Best Chef Best Clam Chowder ★★★★★ 5/5 ""#3 Reason to visit theLong Beach Peninsula"" ""…reserve the chef’s table so you can watch… pans of sizzling duck confit above leaping flames"" Sunset Magazine People’s Platelist Best Chef Nominee ABC's Nightline ★★★★★ 5/5 “Fabulous food & flawless service” “One of the best meals I found in 7 days of road tripping.” LA Times ★★★★★ 5/5 “Dessert is an absolute must” “…whether you choose the tiramisu, a seasonal fruit dessert such as strawberry-rhubarb cobbler, or something decadent, like the chocolate ganache-filled upside-down bread pudding.” The Best Places to Kiss in the Northwest, 8th Edition Best Clam Chowder Long Beach Razor Clam Festival ★★★★★ 5/5 “this restaurant abounds in vintage character” “This is the just the sort of restaurant that you dream of finding on vacation."
